,id,rooms
0,1050,"(3, 1)"
1,1050,"(7, 1)"
2,1051,"(1, 4)"
3,1051,"(2, 7)"
4,1051,"(3, 8)"
5,1051,"(4, 5)"
6,1051,"(5, 2)"
7,1051,"(6, 1)"
8,1051,"(7, 2)"
9,1051,"(8, 1)"
10,1051,"(10, 1)"
11,1052,"(4, 1)"
12,1052,"(7, 1)"
13,1053,"(5, 1)"
14,1054,"(3, 2)"
15,1054,"(4, 3)"
16,1054,"(6, 1)"
17,1055,"(1, 1)"
18,1055,"(2, 2)"
19,1055,"(4, 2)"
20,1057,"(2, 1)"
21,1057,"(3, 1)"
22,1057,"(7, 1)"
23,1058,"(2, 2)"
24,1058,"(4, 2)"
25,1061,"(13, 1)"
26,1062,"(4, 2)"
27,1062,"(5, 1)"
28,1063,"(1, 1)"
29,1063,"(2, 6)"
30,1063,"(3, 2)"
31,1066,"(2, 2)"
32,1066,"(4, 1)"
33,1067,"(3, 1)"
34,1067,"(4, 2)"
35,1068,"(1, 1)"
36,1068,"(4, 1)"
37,1070,"(4, 1)"
38,1071,"(1, 1)"
39,1071,"(2, 1)"
40,1071,"(3, 1)"
41,1072,"(3, 1)"
42,1074,"(2, 1)"
43,1074,"(3, 1)"
44,1100,"(3, 3)"
45,1101,"(3, 1)"
46,1101,"(4, 1)"
47,1102,"(3, 1)"
48,1103,"(5, 1)"
49,1104,"(3, 1)"
50,1104,"(4, 1)"
51,1107,"(2, 6)"
52,1107,"(3, 2)"
53,1107,"(4, 1)"
54,1107,"(5, 2)"
55,1110,"(3, 3)"
56,1112,"(2, 3)"
57,1112,"(3, 3)"
58,1113,"(2, 1)"
59,1113,"(3, 1)"
60,1113,"(4, 1)"
61,1114,"(1, 1)"
62,1114,"(2, 1)"
63,1114,"(3, 1)"
64,1114,"(4, 1)"
65,1114,"(9, 1)"
66,1115,"(3, 1)"
67,1115,"(4, 1)"
68,1115,"(5, 1)"
69,1116,"(2, 1)"
70,1116,"(3, 1)"
71,1117,"(1, 1)"
72,1117,"(2, 1)"
73,1117,"(3, 4)"
74,1117,"(7, 1)"
75,1117,"(8, 1)"
76,1118,"(2, 1)"
77,1118,"(3, 1)"
78,1119,"(2, 3)"
79,1119,"(4, 2)"
80,1119,"(5, 1)"
81,1119,"(6, 2)"
